Title,IMDb rating,Year,MPA rating,Genre,Director,Star Cast,MetaScore,Duration (minutes)
Parasite,8.5,2019,R,Drama,Bong Joon Ho,Bong Joon HoHan Jin-won,97.0,132.0
Goya's Ghosts,6.9,2006,R,Biography,Milos Forman,Javier BardemNatalie PortmanStellan Skarsgård,52.0,113.0
El último varon sobre la Tierra,6.3,1933,Other,Comedy,James Tinling,Raul RoulienRosita MorenoMimi Aguglia,66.0,70.0
Rebel in the Rye,6.7,2017,PG-13,Biography,Danny Strong,Nicholas HoultKevin SpaceyVictor Garber,46.0,106.0
The Parent Trap,6.7,1998,PG,Adventure,Nancy Meyers,Lindsay Lohan,63.0,128.0
Super-Coming,6.1,1995,R,Comedy,Hiroaki Tada,ChapmanKeraAsako Maekawa,66.0,116.3
The Informant!,6.5,2009,R,Biography,Steven Soderbergh,Matt DamonTony HalePatton Oswalt,66.0,108.0
Princess Caraboo,6.0,1994,PG,Comedy,Michael Austin,Phoebe CatesJim BroadbentWendy Hughes,66.0,97.0
Fifth City,6.4,2003,R,Action,Eric Thornett,Cash Flagg Jr.Christi EtcherEric Thornett,66.0,116.3
Lost in New Mexico: The Strange Tale of Susan Hero,7.1,2007,Not Rated,Drama,Jason Rosette,Larry BraslowJack BurningCarlos A. Cabarcas,66.0,85.0
It Chapter Two,6.5,2019,R,Drama,Andy Muschietti,Jessica ChastainJames McAvoyBill Hader,58.0,169.0
All One Moment,6.2,2011,R,Sci-Fi,Thomas Rotenberg,Chantelle Joy FuocoAndrew KantowskiJacob Reynolds,66.0,116.3
Bigger,6.4,2018,PG-13,Biography,George Gallo,Andy WeissGeorge GalloBrad Furman,37.0,107.0
Kill the Messenger,6.9,2014,R,Biography,Michael Cuesta,Jeremy RennerRobert PatrickJena Sims,60.0,112.0
Apollo 11,8.1,2019,G,Documentary,Todd Douglas Miller,Neil ArmstrongMike CollinsBuzz Aldrin,88.0,93.0
Dr. Dolittle 2,4.7,2001,PG,Comedy,Steve Carr,Eddie Murphy,49.0,87.0
Cataclysmo and the Time Boys,6.9,2007,R,Action,Kevin Christensen,Kevin ChristensenAnthony ParisiJoshua Sikora,66.0,116.3
Cataclysmo and the Battle for Earth,7.5,2008,R,Action,Anthony Parisi,Kevin ChristensenAnthony ParisiJoshua Sikora,66.0,116.3
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",6.2,2014,PG,Comedy,Miguel Arteta,Steve Carell,54.0,81.0
Rinoplasticos: A Warrior's Journey,8.4,2014,R,Action,Pauli Janhunen Calderón,Emilio Janhunen CalderónPauli Janhunen CalderónAndrés Calderón,66.0,116.3
Clouds,7.5,2020,PG-13,Biography,Justin Baldoni,Kara HoldenCasey La ScalaPatrick Kopka,55.0,121.0
Gahim taht el-Ma,5.7,1989,R,Adventure,Nader Galal,Ashraf Abdel BakySeif AbdelrahmanAtef Abdulaziz,66.0,116.3
The Parent Trap,6.6,1998,PG,Adventure,Nancy Meyers,Erich KästnerDavid SwiftNancy Meyers,63.0,128.0
Nadanna Sambhavam,7.3,2024,PG,Drama,Vishnu Narayan,Biju Menon,57.1,100.0
Extreme Prejudice,6.6,1987,R,Action,Walter Hill,John MiliusFred RexerDeric Washburn,51.0,105.0
Exhuma,7.0,2024,R,Horror,Jang Jae-hyun,Jang Jae-hyun,66.9,116.3
For Greater Glory: The True Story of Cristiada,6.5,2012,R,Drama,Dean Wright,Andy GarciaOscar IsaacCatalina Sandino Moreno,35.0,145.0
Guardians of the Galaxy Vol. 2,7.6,2017,PG-13,Action,James Gunn,James GunnDan AbnettAndy Lanning,67.0,136.0
Drive Head: Tomica Hyper Rescue Mobile Rescue Police,6.8,2018,R,Animation,Takao Kato,Natsumi FujiwaraKenji HamadaShuuhei Iwase,66.0,116.3
Cherry,6.6,2021,R,Biography,Anthony Russo,Angela Russo-OtstotJessica GoldbergNico Walker,44.0,142.0
Fantastic Beasts and Where to Find Them,7.2,2016,PG-13,Adventure,David Yates,Eddie Redmayne,66.0,132.0
Por Incrível Que Pareça,6.8,1986,R,Comedy,Uberto Molo,Tim RescalaThereza MascarenhasNica Bomfim,66.0,116.3
Raging Bull,8.1,1980,R,Biography,Martin Scorsese,Jake LaMottaJoseph CarterPeter Savage,90.0,129.0
Clifford the Big Red Dog,5.9,2021,PG,Adventure,Walt Becker,Darby Camp,55.0,96.0
Blood Brothers: Malcolm X & Muhammad Ali,6.9,2021,PG-13,Documentary,Marcus A. Clarke,Ilyasah ShabazzRahman AliCornel West,69.0,95.0
Despicable Me 4,6.3,2024,PG,Animation,Chris Renaud,Steve Carell,50.0,95.0
Iniquity,6.3,2012,PG-13,Drama,Joshua Coates,Cynthia RodriguezBrian JesiolowskiStan Dixon,66.0,99.0
Backstabbing for Beginners,6.3,2018,R,Drama,Per Fly,Theo JamesBen KingsleyBelçim Bilgin,48.0,108.0
Find Me Guilty,7.0,2006,R,Biography,Sidney Lumet,Vin DieselPeter DinklageRon Silver,65.0,125.0
Bandslam,6.3,2009,PG,Comedy,Todd Graff,Aly Michalka,66.0,111.0
Riding Giants,7.8,2004,PG-13,Documentary,Stacy Peralta,Laird HamiltonDarrick DoernerDave Kalama,80.0,105.0
The Future,5.3,2011,Not Rated,Comedy,Rob Cousineau,Daniel RadcliffeEmma WatsonRupert Grint,66.0,86.0
Moleman 4: Longplay,8.4,2017,R,Documentary,Szilárd Matusik,György AporTamás BeregiDavid Bishop,66.0,116.3
The Last King,6.1,2016,R,Action,Nils Gaup,Jakob OftebroKristofer HivjuTorkel Dommersnes Soldal,66.0,99.0
Dumb Money,6.9,2023,R,Biography,Craig Gillespie,Paul DanoPete DavidsonVincent D'Onofrio,66.0,105.0
Monkey Man,6.9,2024,R,Action,Dev Patel,Dev PatelPaul AngunawelaJohn Collee,70.0,121.0
Doctor Dolittle,6.1,1967,G,Adventure,Richard Fleischer,Rex Harrison,34.0,152.0
Chaplin,7.5,1992,PG-13,Biography,Richard Attenborough,David RobinsonCharles ChaplinDiana Hawkins,47.0,143.0
The Karate Kid,7.3,1984,PG,Action,John G. Avildsen,Ralph Macchio,60.0,126.0
Megamind,7.3,2010,PG,Animation,Tom McGrath,Will Ferrell,63.0,95.0
Joe Dirt,6.0,2001,PG-13,Adventure,Dennie Gordon,David SpadeBrittany DanielDennis Miller,20.0,91.0
The Pirates! Band of Misfits,6.7,2012,PG,Animation,Peter Lord,Hugh Grant,73.0,88.0
Quarantined,7.6,2009,Not Rated,Comedy,Sean Stearley,Corey AllenDee ArnosKit Bateman,66.0,88.0
Thirteen Lives,7.8,2022,PG-13,Biography,Ron Howard,William NicholsonDon MacPherson,66.0,147.0
Dedh Bigha Zameen,7.0,2024,PG,Drama,Pulkit,Prasanna Bisht,57.1,100.0
Paddington,7.3,2014,PG,Adventure,Paul King,Hugh Bonneville,77.0,95.0
The Apple Dumpling Gang,6.4,1975,G,Comedy,Norman Tokar,Bill Bixby,59.0,100.0
Speedwagon,6.9,2015,R,Comedy,Justin Grizzoffi,Joe FriaCraig WatkinsonBetsy Baker,66.0,116.3
Oigyeseo on Ulemae 2,6.2,1986,R,Sci-Fi,Cheong-gi Kim,Hyung-rae ShimKeum-ran SonYun-a Woo,66.0,116.3
The Infiltrator,7.0,2016,R,Biography,Brad Furman,Bryan CranstonJohn LeguizamoDiane Kruger,66.0,127.0
Lightyear,6.1,2022,PG,Animation,Angus MacLane,Chris Evans,60.0,105.0
Pawn Sacrifice,7.0,2014,PG-13,Biography,Edward Zwick,Steven KnightStephen J. RiveleChristopher Wilkinson,65.0,115.0
100% Wolf,5.6,2020,PG,Animation,Alexs Stadermann,Loren Gray,57.1,96.0
The Chorus,6.7,2018,R,Sci-Fi,Dan Starling,Brennan CampbellNyla CarpentierStephanie Cho,66.0,116.3
Kill Your Darlings,6.4,2013,R,Biography,John Krokidas,Austin BunnJohn Krokidas,65.0,104.0
One Man's Hero,6.0,1999,R,Action,Lance Hool,Tom BerengerJoaquim de AlmeidaDaniela Romo,24.0,121.0
Alice Through the Looking Glass,6.2,2016,PG,Adventure,James Bobin,Mia WasikowskaJohnny DeppHelena Bonham Carter,34.0,113.0
Atar Mass 2019,7.0,2017,R,Action,Nithin,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
The Sea Wolves,6.3,1980,PG,Action,Andrew V. McLaglen,Gregory PeckRoger MooreDavid Niven,66.0,120.0
The Assault,6.1,2010,R,Action,Julien Leclercq,Simon MoutaïrouJulien LeclercqRoland Môntins,55.0,91.0
A Beautiful Mind,8.2,2001,PG-13,Biography,Ron Howard,Russell CroweEd HarrisJennifer Connelly,72.0,135.0
Spider-Man: Far from Home,7.4,2019,PG-13,Action,Jon Watts,Chris McKennaErik SommersStan Lee,69.0,129.0
Mobile Suit Gundam II: Soldiers of Sorrow,7.1,1981,R,Animation,Osamu Sekita,Osamu SekitaYoshikazu YasuhikoYoshiyuki Tomino,66.0,116.3
Harry Potter and the Chamber of Secrets,7.4,2002,PG,Adventure,Chris Columbus,Daniel Radcliffe,63.0,161.0
Raksha Bandhan,5.4,2022,PG,Comedy,Aanand L. Rai,Akshay Kumar,57.1,100.0
Persepolis,8.0,2007,PG-13,Animation,Vincent Paronnaud,Chiara MastroianniCatherine DeneuveGena Rowlands,90.0,96.0
Wonder Park,5.9,2019,PG,Animation,Dylan Brown,Sofia Mali,45.0,85.0
Pod sozvezdiem bliznetsov,6.4,1979,R,Sci-Fi,Boris Ivchenko,Vsevolod GavrilovGennadi ShkuratovBoris Belov,66.0,116.3
Love & Mercy,7.4,2014,PG-13,Biography,Bill Pohlad,John CusackPaul DanoElizabeth Banks,80.0,121.0
Sinbad and the Eye of the Tiger,6.4,1977,G,Action,Sam Wanamaker,Patrick Wayne,57.1,113.0
Heat,8.3,1995,R,Action,Michael Mann,Al PacinoRobert De NiroVal Kilmer,76.0,170.0
Joan the Maid 1: The Battles,7.2,1994,PG,Biography,Jacques Rivette,Tatiana MoukhineSandrine BonnaireJean-Marie Richier,66.0,160.0
The Munsters,4.5,2022,PG,Comedy,Rob Zombie,Sheri Moon Zombie,57.0,109.0
Cheyenne Autumn,6.7,1964,Other,Drama,John Ford,Richard WidmarkCarroll BakerKarl Malden,66.0,154.0
Tad the Lost Explorer and the Emerald Tablet,6.0,2022,PG,Animation,Enrique Gato,Óscar Barberán,57.1,90.0
Tesla the Superman,7.1,2009,R,Sci-Fi,Robert Terry,Philip CarlsenMatthew SaxeGian Franco Tordi,66.0,116.3
Super-Speed,7.5,1935,Other,Drama,Lambert Hillyer,Norman FosterFlorence RiceMary Carlisle,66.0,53.0
The Program,6.5,2015,R,Biography,Stephen Frears,Ben FosterChris O'DowdGuillaume Canet,53.0,99.0
Overcomer,6.7,2019,PG,Drama,Alex Kendrick,Alex Kendrick,17.0,119.0
Woody Woodpecker,4.2,2017,PG,Animation,Alex Zamm,Eric Bauza,57.1,91.0
Star Wait,6.4,2005,R,Comedy,Mike Rotman,Art DouglasMatthew C. EganPeter Genovese,66.0,116.3
The Lost Face,6.1,2001,Not Rated,Drama,Emad Beshay,Carson GrantLisa ReginaDaniel Curtin,66.0,58.0
Missing,7.7,1982,PG,Biography,Costa-Gavras,Costa-GavrasDonald E. StewartThomas Hauser,78.0,122.0
Philomena,7.6,2013,PG-13,Biography,Stephen Frears,Judi DenchSteve CooganSophie Kennedy Clark,77.0,98.0
Robot Taekwon V: Wooju jakjeon,5.7,1976,R,Animation,Cheong-gi Kim,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
The Place Where the Last Man Died,6.3,2010,R,Drama,Ivan Peric,Mirko GabelicaMarko KapitanovicDragan Kovacevic,66.0,116.3
Maleficent,6.9,2014,PG,Action,Robert Stromberg,Angelina Jolie,56.0,97.0
The Girl Who Believes in Miracles,5.9,2021,PG,Drama,Richard Correll,Mira Sorvino,57.1,100.0
The Big Green,5.5,1995,PG,Comedy,Holly Goldberg Sloan,Steve Guttenberg,57.1,100.0
The Perfect Man,5.4,2005,PG,Comedy,Mark Rosman,Hilary Duff,27.0,100.0
Cool Runnings,7.0,1993,PG,Adventure,Jon Turteltaub,Lynn SiefertMichael RitchieTommy Swerdlow,60.0,98.0
The Last Waltz,8.1,1978,PG,Documentary,Martin Scorsese,Robbie RobertsonMuddy WatersNeil Young,84.0,117.0
Saving for the Day,8.8,2023,R,Action,John D. Nilles,Andy ShirtliffLindsey ZachariasenJames McGahee,66.0,116.3
The Greatest Game Ever Played,7.4,2005,PG,Biography,Bill Paxton,Mark Frost,55.0,120.0
Quills,7.2,2000,R,Biography,Philip Kaufman,Doug Wright,70.0,124.0
Avengers: Infinity War,8.4,2018,PG-13,Action,Anthony Russo,Christopher MarkusStephen McFeelyStan Lee,68.0,149.0
Syupeo Hong Gil-dong 4: Jjamppong Hong Gil-dong,5.6,1990,R,Action,Jong-ho Lim,Lee Chang-hoonYeong-jun ChoiYeong-ho Lee,66.0,116.3
"Lust, Caution",7.5,2007,NC-17,Drama,Ang Lee,Tony Leung Chiu-waiTang WeiJoan Chen,61.0,157.0
Into Dust,5.5,2014,R,Action,Gage Oxley,Sian CarryEmma DriscollSarah Driscoll,66.0,116.3
It Happened Here,6.7,1964,Not Rated,Drama,Kevin Brownlow,Kevin BrownlowAndrew MolloDinah Brooke,66.0,93.0
The Bear,7.7,1988,PG,Adventure,Jean-Jacques Annaud,Tchéky Karyo,60.0,96.0
Pokémon: Detective Pikachu,6.5,2019,PG,Action,Rob Letterman,Dan HernandezBenji SamitRob Letterman,53.0,104.0
Under the Boardwalk,5.9,2023,PG,Animation,David Soren,Keke Palmer,57.1,83.0
Free Willy,6.0,1993,PG,Adventure,Simon Wincer,Keith WalkerCorey Blechman,79.0,112.0
The Angry Birds Movie 2,6.4,2019,PG,Animation,Thurop Van Orman,Jason Sudeikis,60.0,97.0
Come Undone,6.0,2010,Not Rated,Drama,Silvio Soldini,Silvio SoldiniDoriana LeondeffAngelo Carbone,61.0,126.0
Time,6.7,2017,R,Sci-Fi,Lee Brown,Selina BlackLee BrownKristel Buckley,66.0,116.3
Kinds of Kindness,7.0,2024,R,Comedy,Yorgos Lanthimos,Efthimis FilippouYorgos Lanthimos,72.0,164.0
The Buddy Holly Story,7.2,1978,PG,Biography,Steve Rash,Gary BuseyDon StroudCharles Martin Smith,78.0,114.0
Super Mix,5.3,2019,R,Action,Joshua Armstrong,Joshua ArmstrongMichael SouthgatePippa Harrison,66.0,116.3
Prometheus,7.0,2012,R,Adventure,Ridley Scott,Jon SpaihtsDamon LindelofDan O'Bannon,64.0,124.0
Hormoonit valloillaan,5.2,1948,R,Comedy,Orvo Saarikivi,Armas J. PullaOrvo Saarikivi,66.0,116.3
The Thief of Bagdad,7.4,1940,Other,Adventure,Ludwig Berger,Conrad Veidt,57.1,106.0
Artemisia,6.7,1997,R,Biography,Agnès Merlet,Patrick AmosAgnès MerletChristine Miller,66.0,98.0
Hearts & Minds,6.2,1995,R,Drama,Ralph Ziman,Danny KeoghPatrick ShaiSeputla Sebogodi,66.0,100.0
Mislandia,7.4,2019,R,Adventure,Mashti Allan,Zahara JohannesRoss JohnsonAleks Nial,66.0,116.3
Cross Creek,6.9,1983,PG,Biography,Martin Ritt,Mary SteenburgenRip TornPeter Coyote,66.0,127.0
Örümcek Adam,5.3,1966,R,Adventure,Cevat Okçugil,Yilmaz GündüzBaki TamerOrhan Alkan,66.0,116.3
2k3,6.8,2009,R,Drama,Gray Miller,Marin GazzanigaAnslem RichardsonStephen Nicholson,66.0,116.3
Zathura: A Space Adventure,6.3,2005,PG,Action,Jon Favreau,Josh Hutcherson,67.0,101.0
Too Old for Fairy Tales 2,4.8,2024,PG,Family,Kristoffer Rus,Maciej Karas,57.1,100.0
The Good Dinosaur,6.7,2015,PG,Animation,Peter Sohn,Jeffrey Wright,66.0,93.0
The Devil's Violinist,6.0,2013,R,Biography,Bernard Rose,David GarrettJared HarrisJoely Richardson,38.0,122.0
The Alpinist,7.9,2021,PG-13,Documentary,Peter Mortimer,Marc-André LeclercPeter MortimerAlex Honnold,67.0,92.0
The Secret Life of Pets 2,6.4,2019,PG,Animation,Chris Renaud,Patton Oswalt,55.0,86.0
Casablanca,8.5,1942,PG,Drama,Michael Curtiz,Julius J. EpsteinPhilip G. EpsteinHoward Koch,100.0,102.0
An American Tail,6.9,1986,G,Animation,Don Bluth,Dom DeLuise,38.0,80.0
Pan's Labyrinth,8.2,2006,R,Drama,Guillermo del Toro,Ivana BaqueroAriadna GilSergi López,98.0,118.0
Darkness Into Light,6.3,2016,R,Adventure,David Fairman,David FairmanChristopher Gawor,66.0,116.3
3 Ninjas Kick Back,4.6,1994,PG,Action,Charles T. Kanganis,Victor Wong,39.0,93.0
Nowhere Boy,7.1,2009,R,Biography,Sam Taylor-Johnson,Aaron Taylor-JohnsonKristin Scott ThomasAnne-Marie Duff,67.0,98.0
The Marquise of O,7.0,1976,PG,Drama,Éric Rohmer,Edith CleverBruno GanzEdda Seippel,85.0,102.0
The Game of Their Lives,6.1,2005,PG,Drama,David Anspaugh,Wes BentleyGerard ButlerGavin Rossdale,47.0,101.0
When the Iron Bird Flies: Tibetan Buddhism Arrives in the West,8.3,2012,PG,Documentary,Victress Hitchcock,Daniel RadcliffeEmma WatsonRupert Grint,66.0,96.0
Apollo 10½: A Space Age Childhood,7.2,2022,PG-13,Animation,Richard Linklater,Milo Coy,79.0,97.0
Borrowing Time,6.0,2004,R,Adventure,Webster Crowell,Susannah AndersonKristie Ann FossKevin Joyce,66.0,116.3
Retorno,6.0,2010,Not Rated,Crime,Guillermo Amoedo,Cristián AlmarzaPablo DonetchFelipe Grandón,66.0,80.0
The Death of Stalin,7.3,2017,R,Comedy,Armando Iannucci,Fabien NuryThierry RobinArmando Iannucci,88.0,107.0
Rifftrax: Avatar,7.6,2010,Other,Action,Bill Corbett,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Stan & Ollie,7.2,2018,PG,Biography,Jon S. Baird,Steve Coogan,75.0,98.0
Gomer and Ed in West Hollywood,7.4,2001,R,Action,Ryan E. Heppe,Lucas HeppeRyan E. HeppeAndrew Hicks,66.0,116.3
The Greatest Show on Earth,6.5,1952,Other,Drama,Cecil B. DeMille,James Stewart,76.0,152.0
Ascension of the Demonoids,6.7,1985,R,Horror,George Kuchar,Rock RossMagdalen RossDavid Hallinger,66.0,116.3
Pierrepoint: The Last Hangman,7.4,2005,R,Biography,Adrian Shergold,Timothy SpallJuliet StevensonEddie Marsan,68.0,95.0
Le petit nuage/La chasse au nuage/Le nuage atomique,5.2,1954,R,Sci-Fi,Antoine Allard,Marcel BerteauMarcel CornelisHubert Daix,66.0,116.3
The Watcher in the Woods,6.1,1980,PG,Family,John Hough,Brian ClemensHarry SpaldingRosemary Anne Sisson,52.0,84.0
Smokey and the Bandit,7.0,1977,PG,Action,Hal Needham,Hal NeedhamRobert L. LevyJames Lee Barrett,50.0,96.0
Lunana: A Yak in the Classroom,7.5,2019,PG,Drama,Pawo Choyning Dorji,Sherab Dorji,76.0,100.0
Adrift,6.6,2018,PG-13,Action,Baltasar Kormákur,Aaron KandellJordan KandellDavid Branson Smith,56.0,96.0
Macross: Do You Remember Love?,7.7,1984,Not Rated,Animation,Noboru Ishiguro,Noboru IshiguroShôji KawamoriKatsuhito Akiyama,66.0,114.0
Winter in Wartime,7.0,2008,R,Drama,Martin Koolhoven,Martin KoolhovenPaul Jan NelissenJan Terlouw,66.0,103.0
Those Who Wish Me Dead,6.0,2021,R,Action,Taylor Sheridan,Michael KorytaCharles LeavittTaylor Sheridan,59.0,100.0
Mobile Suit Z Gundam: A New Translation - Heirs to the Stars,6.7,2004,R,Animation,Kô Matsuo,Yoshiyuki TominoHajime Yatate,66.0,116.3
Saw X,6.6,2023,R,Horror,Kevin Greutert,Tobin BellShawnee SmithSynnøve Macody Lund,60.0,118.0
Maxwell's Demon,5.7,1999,R,Drama,David Clark,Andy CurtisDarcy DunlopMark David Stewart,66.0,116.3
Idiocracy,6.5,2006,R,Adventure,Mike Judge,Mike JudgeEtan Cohen,66.0,84.0
The Social Network,7.8,2010,PG-13,Biography,David Fincher,Jesse EisenbergAndrew GarfieldJustin Timberlake,95.0,120.0
The Shining,8.4,1980,R,Drama,Stanley Kubrick,Jack NicholsonShelley DuvallDanny Lloyd,68.0,146.0
Prom,5.4,2011,PG,Comedy,Joe Nussbaum,Aimee Teegarden,50.0,104.0
Hitchcock,6.8,2012,PG-13,Biography,Sacha Gervasi,Anthony HopkinsHelen MirrenScarlett Johansson,55.0,98.0
Scott Pilgrim vs. the World,7.6,2010,PG-13,Action,Edgar Wright,Michael CeraMary Elizabeth WinsteadKieran Culkin,69.0,112.0
Bent,7.1,1997,NC-17,Drama,Sean Mathias,Martin Sherman,66.0,105.0
The One I Love,7.0,2014,R,Comedy,Charlie McDowell,Mark DuplassElisabeth MossTed Danson,66.0,91.0
Presence,5.9,2008,R,Horror,Bryan Kramer,Bryant CookTim CummingsPaula Mitchell Manning,66.0,116.3
Hearts and Minds,8.2,1974,R,Documentary,Peter Davis,Tin ChanChau DiemNgo Dinh Diem,68.0,112.0
Charlie Wilson's War,7.0,2007,R,Biography,Mike Nichols,Tom HanksJulia RobertsPhilip Seymour Hoffman,67.0,102.0
The Dead Don't Die,5.5,2019,R,Comedy,Jim Jarmusch,Bill MurrayAdam DriverTilda Swinton,53.0,104.0
Into the Game,7.0,2011,R,Comedy,Julianne Celeste,Sharon AielloMartha AngerAmy Arena,66.0,116.3
Knightquest,7.2,2001,R,Sci-Fi,Joe Monroe,Doria AnselmoBen FletcherMatt Howell,66.0,116.3
Teenage Mutant Ninja Turtles III,4.8,1993,PG,Action,Stuart Gillard,Elias Koteas,40.0,96.0
Ryan's World the Movie: Titan Universe Adventure,5.4,2024,PG,Animation,Albie Hecht,Albie Hecht,57.1,83.0
Steamworld,7.3,2015,R,Adventure,Michael Flowers,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
Captain Underpants: The First Epic Movie,6.2,2017,PG,Animation,David Soren,Kevin Hart,69.0,89.0
Cyborgs: Year 0,7.9,2018,R,Sci-Fi,Leonardo Corbucci,Ashton SmileyAnette PuskasQ Fortier,66.0,116.3
Hot Fuzz,7.8,2007,R,Action,Edgar Wright,Simon PeggNick FrostMartin Freeman,81.0,121.0
Rabbit-Proof Fence,7.4,2002,PG,Adventure,Phillip Noyce,Everlyn SampiTianna SansburyKenneth Branagh,80.0,94.0
The Iceman,6.8,2012,R,Biography,Ariel Vromen,Morgan LandAriel VromenAnthony Bruno,60.0,106.0
My Neighbor Totoro,8.1,1988,G,Animation,Hayao Miyazaki,Hitoshi Takagi,86.0,86.0
The Royal Treatment,5.2,2022,Other,Comedy,Rick Jacobson,Laura Marano,36.0,96.0
Retribution in the Year 2050,5.1,1998,R,Sci-Fi,Brendan Muldowney,Aideen BradshawPhilip BredinJohnny Brewer,66.0,116.3
The Assassination of Richard Nixon,6.9,2004,R,Biography,Niels Mueller,Sean PennNaomi WattsDon Cheadle,63.0,95.0
Nimona,7.5,2023,PG,Animation,Nick Bruno,Chloë Grace Moretz,75.0,101.0
The Witches,6.8,1990,PG,Adventure,Nicolas Roeg,Anjelica Huston,78.0,91.0
Rio 2,6.3,2014,G,Animation,Carlos Saldanha,Jesse Eisenberg,49.0,101.0
My Oni Girl,6.0,2024,Other,Animation,Tomotaka Shibayama,Kenshô OnoMiyu TomitaShintarô Asanuma,66.0,112.0
The Queen,7.3,2006,PG-13,Biography,Stephen Frears,Helen MirrenMichael SheenJames Cromwell,90.0,103.0
Bloggers,6.6,2017,R,Sci-Fi,Ángel Manuel Chivite,Miry AlveroJavier CarmonaCarmen Chivite,66.0,116.3
Wendell & Wild,6.4,2022,PG-13,Animation,Henry Selick,Lyric Ross,69.0,105.0
Secondhand Lions,7.5,2003,PG,Comedy,Tim McCanlies,Haley Joel Osment,52.0,109.0
Prison Planet 2: The Armageddon,5.7,1994,R,Action,Robert Colin Boyd,Zak NeathamerRobert Colin BoydSteven Eric Allen,66.0,116.3
Retrograde,7.3,2022,R,Documentary,Matthew Heineman,Daniel RadcliffeEmma WatsonRupert Grint,76.0,94.0
Field of Dreams,7.5,1989,PG,Drama,Phil Alden Robinson,Kevin Costner,57.0,107.0
Cromwell,7.0,1970,G,Biography,Ken Hughes,Richard HarrisAlec GuinnessRobert Morley,66.0,139.0
Alice in Wonderland,6.4,2010,PG,Adventure,Tim Burton,Mia Wasikowska,53.0,108.0
Black Field,6.4,2009,PG-13,History,Danishka Esterhazy,Sara CanningMathieu BourguetFerron Guerreiro,66.0,80.0
See You on Venus,6.0,2023,R,Drama,Joaquín Llamas,Virginia GardnerAlex AionoRob Estes,66.0,116.3
Stardust,7.6,2007,PG-13,Adventure,Matthew Vaughn,Charlie Cox,66.0,127.0
Little Big Soldier,6.9,2010,PG-13,Action,Sheng Ding,Jackie ChanLeehom WangYoo Seung-jun,66.0,96.0
In Her Skin,6.4,2009,R,Biography,Simone North,Guy PearceMiranda OttoRuth Bradley,66.0,107.0
The Imaginary,6.7,2023,PG,Animation,Yoshiyuki Momose,Kokoro Terada,66.0,105.0
Katatonia,6.3,2015,R,Sci-Fi,Hamed Eslami,Amanda AzadShahab HosseiniMehdi Takloo Karimi,66.0,116.3
House of Gucci,6.6,2021,R,Biography,Ridley Scott,Becky JohnstonRoberto BentivegnaSara Gay Forden,59.0,158.0
Conviction,7.2,2010,R,Biography,Tony Goldwyn,Hilary SwankSam RockwellMelissa Leo,61.0,107.0
Golden Kamuy,6.4,2024,R,Action,Shigeaki Kubo,Kento YamazakiAnna YamadaYûma Yamoto,66.9,116.3
My Oni Girl,6.0,2024,Other,Animation,Tomotaka Shibayama,Kenshô Ono,57.1,112.0
The SpongeBob SquarePants Movie,7.2,2004,PG,Animation,Stephen Hillenburg,Tom Kenny,67.0,87.0
Cats & Dogs: The Revenge of Kitty Galore,4.4,2010,PG,Action,Brad Peyton,Bette Midler,30.0,82.0
Anhedonia,5.0,2016,PG,Comedy,Patrick Siegfried Zimmer,Robert StadloberWieland SchönfelderBlixa Bargeld,66.0,79.0
Testament of Youth,7.2,2014,PG-13,Biography,James Kent,Alicia VikanderKit HaringtonTaron Egerton,76.0,129.0
King of Kings,7.0,1961,PG-13,Biography,Nicholas Ray,Jeffrey HunterSiobhan McKennaHurd Hatfield,66.0,168.0
Anthology of horror 8,7.1,2018,R,Drama,Sergey A.,Sergey A.Alexandr GnatushkoKirill Mieliekiestsev,66.0,116.3
Predator,7.8,1987,R,Action,John McTiernan,Arnold SchwarzeneggerCarl WeathersKevin Peter Hall,47.0,107.0
"Hesus, rebolusyunaryo",6.5,2002,R,Action,Lav Diaz,Lav Diaz,66.0,116.3
Lo que pudo ser 2084,8.6,2021,R,Sci-Fi,Alex Del Arco,Andrea JorqueraEnrique CamachoXena Montañez,66.0,116.3
Bedtime Stories,6.0,2008,PG,Adventure,Adam Shankman,Adam Sandler,33.0,99.0
The in Crowd,6.3,1988,PG,Comedy,Mark Rosenthal,Jennifer RunyonDonovan Leitch Jr.Joe Pantoliano,66.0,95.0
Mr. Suzuki: A Man in God's Country,7.2,2020,R,Sci-Fi,Omoi Sasaki,Daniel RadcliffeEmma WatsonRupert Grint,66.0,116.3
The Hunt,8.3,2012,R,Drama,Thomas Vinterberg,Mads MikkelsenThomas Bo LarsenAnnika Wedderkopp,77.0,115.0
Little Women,7.3,1994,PG,Drama,Gillian Armstrong,Susan Sarandon,87.0,115.0
Over the Moon,6.3,2020,PG,Animation,Glen Keane,Glen Keane,60.0,95.0
Disaster Playground,6.4,2015,Not Rated,Documentary,Ben Hayoun- Stépanian,Ben Hayoun- StépanianDavid MorrisonJohn W. Boyd,66.0,67.0
